Gamma_Values,R_Squared_Values,Coef,intercepts
5.5200000000000005,0.9833744892931588,[7.94501769e+13],47408960319071.984
5.53,0.9832841585725898,[8.4440537e+13],50130700034774.7
5.54,0.9831935949688606,[8.97440897e+13],53008182248019.56
5.55,0.9831027986898123,[9.53804757e+13],56050285723896.2
5.5600000000000005,0.9830117699437015,[1.01370566e+14],59266393255321.72
5.57,0.9829205089391999,[1.07736541e+14],62666420136111.17
5.58,0.9828290158853926,[1.1450197e+14],66260844233414.59
5.59,0.9827372909917771,[1.21691897e+14],70060737748753.766
5.6000000000000005,0.9826453344682622,[1.2933294e+14],74077800761844.44
5.61,0.9825531465251669,[1.3745338e+14],78324396656588.56
5.62,0.9824607273732188,[1.46083272e+14],82813589534130.5
5.63,0.9823680772235528,[1.55254555e+14],87559183723653.28
5.64,0.9822751962877105,[1.65001167e+14],92575765507717.25
5.65,0.9821820847776389,[1.75359172e+14],97878747185387.53
5.66,0.9820887429056884,[1.86366894e+14],103484413603194.4
5.67,0.9819951708846123,[1.98065058e+14],109409971291154.44
5.68,0.9819013689275656,[2.10496938e+14],115673600348627.84
5.69,0.9818073372481035,[2.23708521e+14],122294509232780.16
5.7,0.9817130760601801,[2.37748672e+14],129292992610813.34
5.71,0.9816185855781476,[2.52669318e+14],136690492446019.81
5.72,0.9815238660167547,[2.68525637e+14],144509662497039.0
5.73,0.9814289175911455,[2.85376264e+14],152774436419582.88
5.74,0.9813337405168583,[3.03283504e+14],161510099670273.94
5.75,0.9812383350098244,[3.22313564e+14],170743365423220.25
5.76,0.9811427012863668,[3.42536799e+14],180502454721485.44
5.7700000000000005,0.981046839563199,[3.64027966e+14],190817181097813.06
5.78,0.9809507500574239,[3.86866505e+14],201719039911801.88
5.79,0.9808544329865322,[4.11136829e+14],213241302664270.94
5.8,0.9807578885684016,[4.36928637e+14],225419116563814.88
5.8100000000000005,0.9806611170212953,[4.64337243e+14],238289609635603.88
5.82,0.980564118563861,[4.93463927e+14],251892001678333.88
5.83,0.9804668934151294,[5.24416313e+14],266267721391952.88
5.84,0.9803694417945129,[5.57308758e+14],281460530016377.75
5.8500000000000005,0.980271763921805,[5.92262781e+14],297516651840011.6
5.86,0.9801738600171782,[6.29407504e+14],314484911956404.0
5.87,0.9800757303011836,[6.68880135e+14],332416881668038.4
5.88,0.9799773749947486,[7.10826467e+14],351367031957924.0
5.89,0.9798787943191768,[7.5540142e+14],371392895472573.1
5.9,0.9797799884961462,[8.0276961e+14],392555237484079.4
5.91,0.9796809577477079,[8.53105953e+14],414918236324372.5
5.92,0.979581702296285,[9.06596315e+14],438549673811566.5
5.93,0.9794822223646713,[9.63438192e+14],463521136216442.9
5.94,0.9793825181760302,[1.02384144e+15],489908226346891.5
5.95,0.9792825899538931,[1.08802904e+15],517790787359375.5
5.96,0.9791824379221584,[1.15623794e+15],547253138939509.5
5.97,0.9790820623050908,[1.2287199e+15],578384326528490.5
5.98,0.9789814633273186,[1.30574244e+15],611278384308779.2
5.99,0.9788806412138342,[1.38758983e+15],646034612700871.8
6.0,0.9787795961899913,[1.47456409e+15],682757871163649.8
6.01,0.9786783284815048,[1.56698617e+15],721558887133423.8
6.0200000000000005,0.978576838314449,[1.66519708e+15],762554581981844.2
6.03,0.9784751259152562,[1.76955918e+15],805868414920192.5
6.04,0.9783731915107159,[1.88045748e+15],851630745827453.0
6.05,0.9782710353279733,[1.99830108e+15],899979218032045.2
6.0600000000000005,0.9781686575945281,[2.12352469e+15],951059162132423.0
6.07,0.9780660585382331,[2.25659018e+15],1005024021999887.0
